Algorithm,Differential Weight (F),Crossover Rate (CR),x,y,Fitness,Time (s)
DE,0.3,0.3,-7.666211244693954e-11,-1.4675553425951137e-09,0.0,0.6910514831542969
DE,0.3,0.5,-4.0330547507494787e-10,1.0722582380037716e-09,0.0,0.7851345539093018
DE,0.3,0.7,7.452477492735921e-11,9.318346742998552e-10,0.0,0.6290645599365234
DE,0.3,0.9,2.222957893909728e-09,6.244272441973864e-09,7.105427357601002e-15,0.6104512214660645
DE,0.3,1.0,1.173444160698116e-09,2.851604557887025e-09,0.0,0.6398999691009521
DE,0.4,0.3,-9.356675689843306e-10,1.920647913661807e-09,0.0,0.6150999069213867
DE,0.4,0.5,1.6765643833760584e-09,-2.37643589037089e-09,0.0,0.6865496635437012
DE,0.4,0.7,1.626543190417689e-09,-2.0247826886205067e-09,0.0,0.6501646041870117
DE,0.4,0.9,6.570673723393703e-10,2.521658830430947e-09,0.0,0.622039794921875
DE,0.4,1.0,-1.4310970140123812e-08,0.9949586488312977,0.9949590570933537,0.7039735317230225
DE,0.5,0.3,1.4566537113190054e-09,-1.4681113364560212e-09,0.0,0.692692756652832
DE,0.5,0.5,-2.7662599324131016e-09,1.3202882190821804e-09,0.0,0.5940749645233154
DE,0.5,0.7,-2.3157658879085225e-10,8.241184869456062e-10,0.0,0.6317625045776367
DE,0.5,0.9,-7.807163713877013e-10,1.1234689915241575e-09,0.0,0.6049866676330566
DE,0.5,1.0,-5.608173337770374e-09,1.1176486068173271e-08,3.197442310920451e-14,0.6154947280883789
DE,0.6,0.3,4.181914412351841e-10,-2.4457225636939545e-09,0.0,0.6876778602600098
DE,0.6,0.5,4.815076155641614e-09,-3.954036206994717e-09,7.105427357601002e-15,0.617966890335083
DE,0.6,0.7,-1.82141765957428e-09,7.673068252139342e-09,1.4210854715202004e-14,0.5996074676513672
DE,0.6,0.9,-5.6372699852436e-09,1.0409300931761323e-08,2.842170943040401e-14,0.6597640514373779
DE,0.6,1.0,2.3618944086641812e-08,-5.67892860236026e-08,7.496225862269057e-13,0.7121930122375488
DE,0.8,0.3,1.7241055890464062e-08,-6.819296433108727e-08,9.805489753489383e-13,0.7743661403656006
DE,0.8,0.5,1.0980961792753542e-07,-5.2200882491213174e-08,2.9309887850104133e-12,0.8564157485961914
DE,0.8,0.7,1.0772972787324246e-07,-7.793157740522079e-08,3.5065284009760944e-12,0.7814006805419922
DE,0.8,0.9,2.96722492282872e-05,-3.56633052703437e-05,4.2700201063894383e-07,0.850714921951294
DE,0.8,1.0,2.6335592096085104e-06,7.259590179143525e-06,1.1831563284658841e-08,0.7339916229248047
