Algorithm,Inertia Weight (w),Population Size,x,y,Fitness,Time (s)
PSO,0.3,20,2.863822847951128e-09,-0.9949586402967074,0.9949590570932898,0.09019613265991211
PSO,0.5,20,4.4529175356818126e-10,-7.653299306300049e-10,0.0,0.0790090560913086
PSO,0.7,20,-2.772027273044948e-07,2.9968963580271455e-08,1.5422330079672975e-11,0.08782744407653809
PSO,0.9,20,-0.000590666364902237,0.007666513312359957,0.011727552663508334,0.08747696876525879
PSO,1.2,20,1.009212041788527,0.05559682217737283,1.6423072245130896,0.08546781539916992
PSO,0.3,30,9.50147150699218e-10,9.618698084714615e-10,0.0,0.14165687561035156
PSO,0.5,30,2.0293671439875326e-09,-1.3717205979280285e-09,0.0,0.12145042419433594
PSO,0.7,30,-1.489289514749687e-07,6.807385153486122e-08,5.31841237716435e-12,0.11915826797485352
PSO,0.9,30,6.421845635215442e-06,-8.253947668994052e-05,1.3597803949494391e-06,0.15851330757141113
PSO,1.2,30,1.0122831867225026,0.02919928099496749,1.2231615017829753,0.2068018913269043
PSO,0.3,50,9.556566862597208e-10,1.9107375649746392e-09,0.0,0.225480318069458
PSO,0.5,50,-8.758451345405752e-11,-2.7793585317482554e-09,0.0,0.18831777572631836
PSO,0.7,50,7.56679122824087e-07,-1.373347854382212e-07,1.1733192195606534e-10,0.182084321975708
PSO,0.9,50,0.0004642513264023762,0.0008065918067999833,0.0001718309781999494,0.17834687232971191
PSO,1.2,50,-0.0195684535090086,0.012103401781380363,0.10492297934560924,0.2367401123046875
PSO,0.3,100,0.9949586380144118,2.488438556556379e-10,0.9949590570932862,0.47733259201049805
PSO,0.5,100,1.0897634401143802e-09,1.1851804399712209e-09,0.0,0.4347879886627197
PSO,0.7,100,-3.053426198400394e-08,-1.5566541668156925e-07,4.991562718714704e-12,0.39988136291503906
PSO,0.9,100,0.00029098329502893344,-3.92577746967061e-05,1.710386348463544e-05,0.37859416007995605
PSO,1.2,100,-0.9708692622969379,-0.010186052363950954,1.1302042183685366,0.41725826263427734
PSO,0.3,150,1.7939546912764075e-10,1.0697615344659819e-09,0.0,0.5767407417297363
PSO,0.5,150,4.82517692751242e-10,6.727167664168091e-10,0.0,0.6884753704071045
PSO,0.7,150,-1.973617727357521e-08,5.272329229807051e-09,8.171241461241152e-14,0.6414263248443604
PSO,0.9,150,2.8044783609093918e-06,0.0003001444766774072,1.7874044985433102e-05,0.5768702030181885
PSO,1.2,150,-0.006575198832577289,-0.007582193507214008,0.01997926621375612,0.6133811473846436
